period,year,eventID,givenlocation,correctedlocation
1978-1991,1990,9003,NE Grand Bank B,NE Grand Bank B
1978-1991,1990,9004,"SW Arm, T. Bay","SW Arm, T. Bay"
1978-1991,1990,9005,North of N Cape Grand Banks,North of N Cape Grand Banks
1978-1991,1991,9101,"SW Arm, T. Bay","SW Arm, T. Bay"
1978-1991,1991,9102,N Cape Grand Bank,N Cape Grand Bank
1978-1991,1991,9103,NE Slope Grand Bank,NE Slope Grand Bank
1978-1991,1991,9104,NE Grand Bank,NE Grand Bank
1978-1991,1991,9105,N Grand Bank,N Grand Bank
1978-1991,1991,9106,N Grand Bank,N Grand Bank
1978-1991,1991,9106,S Funk Is. Bank,S Funk Is. Bank
1978-1991,1991,9107,N Grand Bank,N Grand Bank
1978-1991,1991,9109,N Funk Is. Bank,N Funk Is. Bank
1992-1993,1992,9201,NE Grand Bank,NE Grand Bank
1992-1993,1992,9201,SE Funk Is. Bank,SE Funk Is. Bank
1992-1993,1992,9203,"SW Arm, T. Bay","SW Arm, T. Bay"
1992-1993,1993,9301,"SW Arm, T. Bay","SW Arm, T. Bay"
1992-1993,1993,9302,"SW Arm, T. Bay","SW Arm, T. Bay"
